185
4002	4	2	222
4005	0	2	222
4006	0	2	222
4008	3	3	222
4004	1	4	222
4001	2	5	222
4010	3	0	222
4016	2	0	222
4016	3	0	222
4014	1	2	222
4012	4	3	222
4011	1	6	222
4013	4	7	222
4015	0	7	222
4009	1	8	222
4017	4	0	222
4020	2	1	222
4020	1	2	222
4021	3	3	222
4017	1	4	222
4017	4	7	222
4020	1	7	222
4019	0	8	222
4019	4	8	222
4021	1	8	222
4024	4	8	222
4029	0	0	222
4027	3	4	222
4029	3	8	222
4032	0	8	222
4081	1	0	222
4081	2	0	222
4082	1	0	222
4082	4	0	222
4085	0	0	222
4086	0	0	222
4087	0	0	222
4087	1	0	222
4087	2	0	222
4087	3	0	222
4087	4	0	222
4082	2	1	222
4084	2	1	222
4085	0	1	222
4086	0	1	222
4087	0	1	222
4087	1	1	222
4087	2	1	222
4087	3	1	222
4087	4	1	222
4082	2	2	222
4085	0	2	222
4086	4	2	222
4087	0	2	222
4087	1	2	222
4087	2	2	222
4087	3	2	222
4087	4	2	222
4088	2	2	222
4083	4	3	222
4085	0	3	222
4087	0	3	222
4087	1	3	222
4087	2	3	222
4087	3	3	222
4087	4	3	222
4088	0	3	222
4081	4	4	222
4087	0	4	222
4087	1	4	222
4087	2	4	222
4087	3	4	222
4087	4	4	222
4083	4	5	222
4084	3	5	222
4085	0	5	222
4085	2	5	222
4086	4	5	222
4087	0	5	222
4087	1	5	222
4087	2	5	222
4087	3	5	222
4087	4	5	222
4088	1	5	222
4083	3	6	222
4085	0	6	222
4085	4	6	222
4087	0	6	222
4087	1	6	222
4087	2	6	222
4087	3	6	222
4087	4	6	222
4088	0	6	222
4088	1	6	222
4083	4	7	222
4084	2	7	222
4085	0	7	222
4086	2	7	222
4087	0	7	222
4087	1	7	222
4087	2	7	222
4087	3	7	222
4087	4	7	222
4082	2	8	222
4084	2	8	222
4085	0	8	222
4087	0	8	222
4087	1	8	222
4087	2	8	222
4087	3	8	222
4087	4	8	222
4088	0	8	222
4090	2	0	222
4090	4	0	222
4092	1	0	222
4091	0	0	222
4091	2	0	222
4096	0	0	222
4096	1	0	222
4090	0	1	222
4090	1	1	222
4090	2	1	222
4089	3	1	222
4092	1	1	222
4094	0	1	222
4094	4	1	222
4096	1	1	222
4095	4	1	222
4090	2	2	222
4089	0	2	222
4092	0	2	222
4092	1	2	222
4092	4	2	222
4094	0	2	222
4094	3	2	222
4093	2	2	222
4096	4	2	222
4095	2	2	222
4095	3	2	222
4090	1	3	222
4090	2	3	222
4090	4	3	222
4091	0	3	222
4091	4	3	222
4094	0	3	222
4090	1	4	222
4090	2	4	222
4089	0	4	222
4091	3	4	222
4091	4	4	222
4094	0	4	222
4089	0	5	222
4092	4	5	222
4091	0	5	222
4091	1	5	222
4094	0	5	222
4093	2	5	222
4090	1	6	222
4090	4	6	222
4089	0	6	222
4089	4	6	222
4092	1	6	222
4092	2	6	222
4092	3	6	222
4091	0	6	222
4091	1	6	222
4091	2	6	222
4091	3	6	222
4093	4	6	222
4090	1	7	222
4090	2	7	222
4090	4	7	222
4089	2	7	222
4089	3	7	222
4092	1	7	222
4092	4	7	222
4091	0	7	222
4091	1	7	222
4091	4	7	222
4093	2	7	222
4090	1	8	222
4090	2	8	222
4092	0	8	222
4092	3	8	222
4091	0	8	222
